"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
2048           , 12288         , 1                  , 1                 , 14.2857142857143 , 14.0403056        
2048           , 12288         , 1                  , 4                 , 14.2857142857143 , 13.9644498        
2048           , 12288         , 1                  , 100               , 14.2857142857143 , 13.9644498        
2048           , 14336         , 0                  , 4                 , 12.5             , 1.5583438         
2048           , 14336         , 1                  , 1                 , 12.5             , 12.2706926        
2048           , 14336         , 1                  , 4                 , 12.5             , 12.2509606        
2048           , 14336         , 1                  , 100               , 12.5             , 12.2509606        
2048           , 16384         , 0                  , 4                 , 11.1111111111111 , 1.729047          
2048           , 16384         , 1                  , 1                 , 11.1111111111111 , 10.865432         
2048           , 16384         , 1                  , 4                 , 11.1111111111111 , 10.8599828        
2048           , 16384         , 1                  , 100               , 11.1111111111111 , 10.8599828        
2048           , 18432         , 0                  , 4                 , 10               , 1.9220076         
2048           , 18432         , 1                  , 1                 , 10               , 9.7059198         
2048           , 18432         , 1                  , 4                 , 10               , 9.7368768         
2048           , 18432         , 1                  , 100               , 10               , 9.7368768         
2048           , 20480         , 0                  , 4                 , 9.09090909090909 , 2.0799326         
2048           , 20480         , 1                  , 1                 , 9.09090909090909 , 8.9543386         
2048           , 20480         , 1                  , 4                 , 9.09090909090909 , 8.9254872         
2048           , 20480         , 1                  , 100               , 9.09090909090909 , 8.9254872         
2048           , 22528         , 0                  , 4                 , 8.33333333333333 , 2.2502998         
2048           , 22528         , 1                  , 1                 , 8.33333333333333 , 8.2644188         
2048           , 22528         , 1                  , 4                 , 8.33333333333333 , 8.1966848         
2048           , 22528         , 1                  , 100               , 8.33333333333333 , 8.1966848         
20480          , 0             , 0                  , 4                 , 100              , 99.197365         
20480          , 0             , 1                  , 1                 , 100              , 98.4357676        
20480          , 0             , 1                  , 4                 , 100              , 98.2689446        
20480          , 0             , 1                  , 100               , 100              , 98.2689446        
20480          , 320           , 0                  , 4                 , 98.4615384615385 , 19.9677784        
20480          , 320           , 1                  , 1                 , 98.4615384615385 , 95.2925418        
20480          , 320           , 1                  , 4                 , 98.4615384615385 , 94.8608212        
20480          , 320           , 1                  , 100               , 98.4615384615385 , 94.8608212        
20480          , 640           , 0                  , 4                 , 96.969696969697  , 19.355553         
20480          , 640           , 1                  , 1                 , 96.969696969697  , 93.4793886        
20480          , 640           , 1                  , 4                 , 96.969696969697  , 94.3015188        
20480          , 640           , 1                  , 100               , 96.969696969697  , 94.3015188        
20480          , 1280          , 0                  , 4                 , 94.1176470588235 , 19.8775692        
20480          , 1280          , 1                  , 1                 , 94.1176470588235 , 91.550126         
20480          , 1280          , 1                  , 4                 , 94.1176470588235 , 90.682769         
20480          , 1280          , 1                  , 100               , 94.1176470588235 , 90.682769         
20480          , 2560          , 0                  , 4                 , 88.8888888888889 , 20.8796474        
20480          , 2560          , 1                  , 1                 , 88.8888888888889 , 85.6053766        
20480          , 2560          , 1                  , 4                 , 88.8888888888889 , 86.0268286        
20480          , 2560          , 1                  , 100               , 88.8888888888889 , 86.0268286        
20480          , 5120          , 0                  , 4                 , 80               , 22.8349216        
20480          , 5120          , 1                  , 1                 , 80               , 76.8476616        
20480          , 5120          , 1                  , 4                 , 80               , 77.7574922        
20480          , 5120          , 1                  , 100               , 80               , 77.7574922        
20480          , 10240         , 0                  , 4                 , 66.6666666666667 , 26.4561518        
20480          , 10240         , 1                  , 4                 , 66.6666666666667 , 64.6400344        
20480          , 10240         , 1                  , 100               , 66.6666666666667 , 64.6400344        
20480          , 20480         , 0                  , 4                 , 50               , 31.816546         
20480          , 20480         , 1                  , 4                 , 50               , 48.5080594        
20480          , 20480         , 1                  , 100               , 50               , 48.5080594        
20480          , 40960         , 0                  , 4                 , 33.3333333333333 , 31.913119         
20480          , 40960         , 1                  , 4                 , 33.3333333333333 , 32.1223942        
20480          , 40960         , 1                  , 100               , 33.3333333333333 , 32.1223942        
20480          , 61440         , 0                  , 4                 , 25               , 24.2546622        
20480          , 61440         , 1                  , 4                 , 25               , 24.216251         
